date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:10:53	114/114	---M--	200	added ('OK')	text/html	date:Wed,%2019%20Nov%202014%2021:59:22%20GMT	https://pmngr.com/application/	D:/htdocs/html-pmngr/pmngr/pmngr.com/application/index.html	(from https://pmngr.com/company/account/register)
12:10:53	43/43	---M--	200	added ('OK')	image/gif	etag:%22221d8352905f2c38b3cb2bd191d630b0%22	https://d5nxst8fruw4z.cloudfront.net/atrk.gif?account=TYQnh1a0k700i6	D:/htdocs/html-pmngr/pmngr/d5nxst8fruw4z.cloudfront.net/atrkcc67.gif	(from https://pmngr.com/company/account/register)
12:10:53	3234/3234	---M--	200	added ('OK')	image/png	date:Sun,%2013%20Mar%202016%2001:36:15%20GMT	https://pmngr.com/application/views/default/assets/images/logo-small.png	D:/htdocs/html-pmngr/pmngr/pmngr.com/application/views/default/assets/images/logo-small.png	(from https://pmngr.com/company/account/register)
12:12:14	658/658	---M--	200	added ('OK')	text/css	date:Sat,%2017%20May%202014%2010:44:25%20GMT	https://pmngr.com/assets/date-time-picker/timepicker/jquery-ui-timepicker-addon.css	D:/htdocs/html-pmngr/pmngr/pmngr.com/assets/date-time-picker/timepicker/jquery-ui-timepicker-addon.css	(from https://pmngr.com/company/account/register)
12:12:15	3140/3140	---M--	200	added ('OK')	application/javascript	date:Sat,%2017%20May%202014%2010:44:25%20GMT	https://pmngr.com/assets/date-time-picker/timepicker/jquery-ui-sliderAccess.js	D:/htdocs/html-pmngr/pmngr/pmngr.com/assets/date-time-picker/timepicker/jquery-ui-sliderAccess.js	(from https://pmngr.com/company/account/register)
12:12:16	9705/9705	---M--	200	added ('OK')	application/javascript	date:Sat,%2017%20May%202014%2010:44:25%20GMT	https://pmngr.com/assets/cute-time/jquery.cuteTime.js	D:/htdocs/html-pmngr/pmngr/pmngr.com/assets/cute-time/jquery.cuteTime.js	(from https://pmngr.com/company/account/register)
12:12:27	74440/74440	---M--	200	added ('OK')	application/javascript	date:Sat,%2017%20May%202014%2010:44:25%20GMT	https://pmngr.com/assets/date-time-picker/timepicker/jquery-ui-timepicker-addon.js	D:/htdocs/html-pmngr/pmngr/pmngr.com/assets/date-time-picker/timepicker/jquery-ui-timepicker-addon.js	(from https://pmngr.com/company/account/register)
12:12:27	27913/27913	---M--	200	added ('OK')	application/javascript	date:Wed,%2026%20Nov%202014%2017:15:34%20GMT	https://pmngr.com/assets/bootstrap/bootstrap.min.js	D:/htdocs/html-pmngr/pmngr/pmngr.com/assets/bootstrap/bootstrap.min.js	(from https://pmngr.com/company/account/register)
12:12:37	19144/19144	---M--	200	added ('OK')	application/javascript	date:Wed,%2025%20Feb%202015%2006:52:10%20GMT	https://pmngr.com/application/views/default/assets/js/wizard.js?refresh=okj14	D:/htdocs/html-pmngr/pmngr/pmngr.com/application/views/default/assets/js/wizard842b.js	(from https://pmngr.com/company/account/register)
12:12:38	17775/17775	---M--	200	added ('OK')	application/javascript	date:Wed,%2025%20Feb%202015%2006:52:08%20GMT	https://pmngr.com/application/views/default/assets/js/projects.js?refresh=okj14	D:/htdocs/html-pmngr/pmngr/pmngr.com/application/views/default/assets/js/projects842b.js	(from https://pmngr.com/company/account/register)
12:12:42	21251/21251	---M--	200	added ('OK')	application/javascript	date:Wed,%2025%20Feb%202015%2006:52:09%20GMT	https://pmngr.com/application/views/default/assets/js/tasks.js?refresh=okj14	D:/htdocs/html-pmngr/pmngr/pmngr.com/application/views/default/assets/js/tasks842b.js	(from https://pmngr.com/company/account/register)
12:12:43	1354/1354	---M--	200	added ('OK')	application/javascript	date:Sat,%2017%20May%202014%2010:44:25%20GMT	https://pmngr.com/assets/form-validator/validator.js	D:/htdocs/html-pmngr/pmngr/pmngr.com/assets/form-validator/validator.js	(from https://pmngr.com/company/account/register)
12:12:43	134/134	---M--	200	added ('OK')	text/css	date:Sat,%2017%20May%202014%2010:44:25%20GMT	https://pmngr.com/assets/form-validator/validator.css?refresh=okj14	D:/htdocs/html-pmngr/pmngr/pmngr.com/assets/form-validator/validator842b.css	(from https://pmngr.com/company/account/register)
12:12:51	26644/26644	---M--	200	added ('OK')	text/css	date:Sat,%2027%20Dec%202014%2021:49:41%20GMT	https://pmngr.com/assets/percent/circle.css?refresh=okj14	D:/htdocs/html-pmngr/pmngr/pmngr.com/assets/percent/circle842b.css	(from https://pmngr.com/company/account/register)
12:12:55	3002/3002	---M--	200	added ('OK')	application/javascript	date:Fri,%2026%20Dec%202014%2020:15:26%20GMT	https://pmngr.com/assets/ckeditor/adapters/jquery.js?refresh=okj14	D:/htdocs/html-pmngr/pmngr/pmngr.com/assets/ckeditor/adapters/jquery842b.js	(from https://pmngr.com/company/account/register)
12:12:55	1157/1157	---M--	200	added ('OK')	application/javascript	date:Fri,%2009%20Jan%202015%2017:29:33%20GMT	https://pmngr.com/assets/ckeditor/ck_call_fix.js?refresh=okj14	D:/htdocs/html-pmngr/pmngr/pmngr.com/assets/ckeditor/ck_call_fix842b.js	(from https://pmngr.com/company/account/register)
12:12:57	9123/9123	---MC-	200	added ('OK')	text/html	date:Thu,%2006%20Sep%202018%2010:13:13%20GMT	https://pmngr.com/company/account/forget_password	D:/htdocs/html-pmngr/pmngr/pmngr.com/company/account/forget_password.html	(from https://pmngr.com/company/account/login)
12:12:58	8757/8757	---M--	200	added ('OK')	application/javascript	date:Sun,%2013%20Mar%202016%2011:08:22%20GMT	https://pmngr.com/application/views/default/assets/js/main.js?refresh=okj14	D:/htdocs/html-pmngr/pmngr/pmngr.com/application/views/default/assets/js/main842b.js	(from https://pmngr.com/company/account/register)
12:12:58	9105/9105	---MC-	200	added ('OK')	text/html	date:Thu,%2006%20Sep%202018%2010:13:14%20GMT	https://pmngr.com/company/account/activate_account	D:/htdocs/html-pmngr/pmngr/pmngr.com/company/account/activate_account.html	(from https://pmngr.com/company/account/login)
12:12:59	9072/9072	---MC-	200	added ('OK')	text/html	date:Thu,%2006%20Sep%202018%2010:13:16%20GMT	https://pmngr.com/general/help/faq	D:/htdocs/html-pmngr/pmngr/pmngr.com/general/help/faq.html	(from https://pmngr.com/general/help)
12:13:00	9329/9329	---MC-	200	added ('OK')	text/html	date:Thu,%2006%20Sep%202018%2010:13:16%20GMT	https://pmngr.com/general/help/support	D:/htdocs/html-pmngr/pmngr/pmngr.com/general/help/support.html	(from https://pmngr.com/general/help)
12:13:04	1175/1175	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Sep%202018%2010:13:18%20GMT	http://pmngr.com/terms-conditions	D:/htdocs/html-pmngr/pmngr/pmngr.com/terms-conditions.39.delayed	(from https://pmngr.com/general/help/page/privacy-policy)
12:13:06	4067/4067	---M--	200	added ('OK')	application/javascript	date:Sat,%2017%20May%202014%2010:44:25%20GMT	https://pmngr.com/assets/jquery/ui/jquery.ui.map.full.min.js	D:/htdocs/html-pmngr/pmngr/pmngr.com/assets/jquery/ui/jquery.ui.map.full.min.js	(from https://pmngr.com/general/help/contact)
12:13:10	4134/4134	---M--	200	added ('OK')	image/png	date:Sat,%2017%20May%202014%2010:44:25%20GMT	https://pmngr.com/assets/images/social/facebook.png	D:/htdocs/html-pmngr/pmngr/pmngr.com/assets/images/social/facebook.png	(from https://pmngr.com/general/help/contact)
12:14:17	10408/10408	---M--	200	added ('OK')	image/png	date:Sat,%2017%20May%202014%2010:44:25%20GMT	https://pmngr.com/assets/images/social/arabia.png	D:/htdocs/html-pmngr/pmngr/pmngr.com/assets/images/social/arabia.png	(from https://pmngr.com/general/help/contact)
12:14:24	762/762	---MC-	200	added ('OK')	text/javascript	date:Thu,%2006%20Sep%202018%2010:14:35%20GMT	https://www.google.com/recaptcha/api.js?hl=ar	D:/htdocs/html-pmngr/pmngr/www.google.com/recaptcha/api562e.js	(from https://pmngr.com/company/account/register)
12:14:40	53431/53431	---M--	200	added ('OK')	text/css	date:Wed,%2026%20Nov%202014%2017:28:40%20GMT	https://pmngr.com/assets/animated/animate.css?refresh=okj14	D:/htdocs/html-pmngr/pmngr/pmngr.com/assets/animated/animate842b.css	(from https://pmngr.com/company/account/register)
12:14:40	27259/27259	---M--	200	added ('OK')	text/css	date:Sat,%2017%20May%202014%2010:44:25%20GMT	https://pmngr.com/assets/jquery/ui/jquery-ui-1.10.4.custom.min.css	D:/htdocs/html-pmngr/pmngr/pmngr.com/assets/jquery/ui/jquery-ui-1.10.4.custom.min.css	(from https://pmngr.com/company/account/register)
12:14:42	228539/228539	UR-M--	200	added ('Partial%20Content')	application/javascript	date:Sat,%2017%20May%202014%2010:44:25%20GMT	https://pmngr.com/assets/jquery/ui/jquery-ui-1.10.4.custom.min.js	D:/htdocs/html-pmngr/pmngr/pmngr.com/assets/jquery/ui/jquery-ui-1.10.4.custom.min.js	(from https://pmngr.com/company/account/register)
12:14:50	93057/93057	UR-M--	200	added ('Partial%20Content')	application/javascript	date:Sun,%2013%20Mar%202016%2001:55:03%20GMT	https://pmngr.com/assets/jquery/jquery.min.js	D:/htdocs/html-pmngr/pmngr/pmngr.com/assets/jquery/jquery.min.js	(from https://pmngr.com/)
12:14:50	51249/51249	---M--	200	added ('OK')	text/css	date:Tue,%2014%20Feb%202017%2015:20:18%20GMT	https://pmngr.com/application/views/default/assets/css/main.css?refresh=okj14	D:/htdocs/html-pmngr/pmngr/pmngr.com/application/views/default/assets/css/main842b.css	(from https://pmngr.com/company/account/register)
12:15:08	9173/9173	---MC-	200	added ('OK')	text/html	date:Thu,%2006%20Sep%202018%2010:15:25%20GMT	https://pmngr.com/general/help/faq_cat/1	D:/htdocs/html-pmngr/pmngr/pmngr.com/general/help/faq_cat/1.html	(from https://pmngr.com/general/help/faq)
12:15:08	577306/577306	UR-M--	200	added ('Partial%20Content')	application/javascript	date:Wed,%2007%20Jan%202015%2021:47:51%20GMT	https://pmngr.com/assets/ckeditor/ckeditor.js?refresh=okj14	D:/htdocs/html-pmngr/pmngr/pmngr.com/assets/ckeditor/ckeditor842b.js	(from https://pmngr.com/company/account/register)
12:15:08	9281/9281	---MC-	200	added ('OK')	text/html	date:Thu,%2006%20Sep%202018%2010:15:25%20GMT	https://pmngr.com/general/help/faq_cat/2	D:/htdocs/html-pmngr/pmngr/pmngr.com/general/help/faq_cat/2.html	(from https://pmngr.com/general/help/faq)
12:15:08	9110/9110	---MC-	200	added ('OK')	text/html	date:Thu,%2006%20Sep%202018%2010:15:26%20GMT	https://pmngr.com/general/help/faq_cat/3	D:/htdocs/html-pmngr/pmngr/pmngr.com/general/help/faq_cat/3.html	(from https://pmngr.com/general/help/faq)
12:15:09	8509/8509	---MC-	200	added ('OK')	text/html	date:Thu,%2006%20Sep%202018%2010:15:26%20GMT	https://pmngr.com/general/help/faq_cat/4	D:/htdocs/html-pmngr/pmngr/pmngr.com/general/help/faq_cat/4.html	(from https://pmngr.com/general/help/faq)
12:15:10	188/188	---M--	200	added ('OK')	text/plain	date:Wed,%2028%20May%202014%2006:08:13%20GMT	http://pmngr.com/robots.txt		(from https://pmngr.com/general/help/page/privacy-policy)
12:15:12	10087/10087	---MC-	200	added ('OK')	text/html	date:Thu,%2006%20Sep%202018%2010:15:26%20GMT	https://pmngr.com/general/help/new_ticket	D:/htdocs/html-pmngr/pmngr/pmngr.com/general/help/new_ticket.html	(from https://pmngr.com/general/help/support)
12:15:12	5426/5426	---M--	200	added ('OK')	image/png	date:Sat,%2017%20May%202014%2010:44:25%20GMT	https://pmngr.com/assets/images/social/twitter.png	D:/htdocs/html-pmngr/pmngr/pmngr.com/assets/images/social/twitter.png	(from https://pmngr.com/general/help/contact)
12:15:12	5645/5645	---M--	200	added ('OK')	image/png	date:Sat,%2017%20May%202014%2010:44:25%20GMT	https://pmngr.com/assets/images/social/google+.png	D:/htdocs/html-pmngr/pmngr/pmngr.com/assets/images/social/google+.png	(from https://pmngr.com/general/help/contact)
12:15:12	11217/11217	---MC-	200	added ('OK')	text/html	date:Thu,%2006%20Sep%202018%2010:15:29%20GMT	https://pmngr.com/general/help/question/1	D:/htdocs/html-pmngr/pmngr/pmngr.com/general/help/question/1.html	(from https://pmngr.com/general/help/faq_cat/1)
12:15:12	13950/13950	---MC-	200	added ('OK')	text/html	date:Thu,%2006%20Sep%202018%2010:15:30%20GMT	https://pmngr.com/general/help/question/2	D:/htdocs/html-pmngr/pmngr/pmngr.com/general/help/question/2.html	(from https://pmngr.com/general/help/faq_cat/1)
12:15:13	10457/10457	---MC-	200	added ('OK')	text/html	date:Thu,%2006%20Sep%202018%2010:15:30%20GMT	https://pmngr.com/general/help/question/3	D:/htdocs/html-pmngr/pmngr/pmngr.com/general/help/question/3.html	(from https://pmngr.com/general/help/faq_cat/1)
12:15:13	10093/10093	---MC-	200	added ('OK')	text/html	date:Thu,%2006%20Sep%202018%2010:15:30%20GMT	https://pmngr.com/general/help/question/4	D:/htdocs/html-pmngr/pmngr/pmngr.com/general/help/question/4.html	(from https://pmngr.com/general/help/faq_cat/1)
12:15:13	14306/14306	---MC-	200	added ('OK')	text/html	date:Thu,%2006%20Sep%202018%2010:15:30%20GMT	https://pmngr.com/general/help/question/5	D:/htdocs/html-pmngr/pmngr/pmngr.com/general/help/question/5.html	(from https://pmngr.com/general/help/faq_cat/2)
12:15:13	10849/10849	---MC-	200	added ('OK')	text/html	date:Thu,%2006%20Sep%202018%2010:15:31%20GMT	https://pmngr.com/general/help/question/6	D:/htdocs/html-pmngr/pmngr/pmngr.com/general/help/question/6.html	(from https://pmngr.com/general/help/faq_cat/2)
12:15:13	9139/9139	---MC-	200	added ('OK')	text/html	date:Thu,%2006%20Sep%202018%2010:15:31%20GMT	https://pmngr.com/general/help/question/7	D:/htdocs/html-pmngr/pmngr/pmngr.com/general/help/question/7.html	(from https://pmngr.com/general/help/faq_cat/2)
12:15:14	9442/9442	---MC-	200	added ('OK')	text/html	date:Thu,%2006%20Sep%202018%2010:15:31%20GMT	https://pmngr.com/general/help/question/8	D:/htdocs/html-pmngr/pmngr/pmngr.com/general/help/question/8.html	(from https://pmngr.com/general/help/faq_cat/2)
